"Country or Area","Year","Area","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Iceland","1965","Rural","Data tabulated by year of occurrence","Final figure, complete","1967","788",""
"Iceland","1964","Total","Data tabulated by year of occurrence","Final figure, complete","1966","1567",""
"Iceland","1963","Total","Data tabulated by year of occurrence","Final figure, complete","1966","1457",""
"Iceland","1962","Total","Data tabulated by year of occurrence","Final figure, complete","1966","1357",""
"Iceland","1961","Total","Data tabulated by year of occurrence","Final figure, complete","1965","1348",""
"Iceland","1960","Total","Data tabulated by year of occurrence","Final figure, complete","1965","1309",""
"Iceland","1959","Total","Data tabulated by year of occurrence","Final figure, complete","1965","1345",""
"Iceland","1958","Total","Data tabulated by year of occurrence","Final figure, complete","1965","1331",""
"Iceland","1957","Total","Data tabulated by year of occurrence","Final figure, complete","1965","1315",""
"Iceland","1956","Total","Data tabulated by year of occurrence","Final figure, complete","1965","1336",""
"Iceland","1955","Total","Data tabulated by year of occurrence","Final figure, complete","1960","1335",""
"Iceland","1954","Total","Data tabulated by year of occurrence","Final figure, complete","1960","1417",""
"Iceland","1953","Total","Data tabulated by year of occurrence","Final figure, complete","1960","1225",""
"Iceland","1952","Total","Data tabulated by year of occurrence","Final figure, complete","1960","1151",""
"Iceland","1951","Total","Data tabulated by year of occurrence","Final figure, complete","1960","1139",""
"Iceland","1950","Total","Data tabulated by year of occurrence","Final figure, complete","1960","1217",""
"Iceland","1949","Total","Data tabulated by year of occurrence","Final figure, complete","1952","1077",""
"Iceland","1948","Total","Data tabulated by year of occurrence","Final figure, complete","1952","1162",""

"footnoteSeqID","Footnote"
"1","Data for residence abroad are excluded."
"2","Data refer to common residence after marriage."
"3","Unrevised data."
"4","Total includes residence abroad, but the categories urban and rural do not."
