"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Iceland","1996","Total","March","Data tabulated by year of occurrence","Final figure, complete","1997","151",""
"Iceland","1996","Total","April","Data tabulated by year of occurrence","Final figure, complete","1997","147",""
"Iceland","1996","Total","May","Data tabulated by year of occurrence","Final figure, complete","1997","140",""
"Iceland","1996","Total","June","Data tabulated by year of occurrence","Final figure, complete","1997","159",""
"Iceland","1996","Total","July","Data tabulated by year of occurrence","Final figure, complete","1997","160",""
"Iceland","1996","Total","August","Data tabulated by year of occurrence","Final figure, complete","1997","136",""
"Iceland","1996","Total","September","Data tabulated by year of occurrence","Final figure, complete","1997","133",""
"Iceland","1996","Total","October","Data tabulated by year of occurrence","Final figure, complete","1997","166",""
"Iceland","1996","Total","November","Data tabulated by year of occurrence","Final figure, complete","1997","136",""
"Iceland","1996","Total","December","Data tabulated by year of occurrence","Final figure, complete","1997","197",""
"Iceland","1995","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1996","1923",""
"Iceland","1995","Total","January","Data tabulated by year of occurrence","Final figure, complete","1996","183",""
"Iceland","1995","Total","February","Data tabulated by year of occurrence","Final figure, complete","1996","158",""
"Iceland","1995","Total","March","Data tabulated by year of occurrence","Final figure, complete","1996","173",""
"Iceland","1995","Total","April","Data tabulated by year of occurrence","Final figure, complete","1996","170",""
"Iceland","1995","Total","May","Data tabulated by year of occurrence","Final figure, complete","1996","157",""
"Iceland","1995","Total","June","Data tabulated by year of occurrence","Final figure, complete","1996","142",""
"Iceland","1995","Total","July","Data tabulated by year of occurrence","Final figure, complete","1996","152",""
"Iceland","1995","Total","August","Data tabulated by year of occurrence","Final figure, complete","1996","141",""
"Iceland","1995","Total","September","Data tabulated by year of occurrence","Final figure, complete","1996","158",""
"Iceland","1995","Total","October","Data tabulated by year of occurrence","Final figure, complete","1996","159",""
"Iceland","1995","Total","November","Data tabulated by year of occurrence","Final figure, complete","1996","158",""
"Iceland","1995","Total","December","Data tabulated by year of occurrence","Final figure, complete","1996","172",""
"Iceland","1993","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1994","1753",""
"Iceland","1993","Total","January","Data tabulated by year of occurrence","Final figure, complete","1994","167",""
"Iceland","1993","Total","February","Data tabulated by year of occurrence","Final figure, complete","1994","154",""
"Iceland","1993","Total","March","Data tabulated by year of occurrence","Final figure, complete","1994","143",""
"Iceland","1993","Total","April","Data tabulated by year of occurrence","Final figure, complete","1994","121",""
"Iceland","1993","Total","May","Data tabulated by year of occurrence","Final figure, complete","1994","140",""
"Iceland","1993","Total","June","Data tabulated by year of occurrence","Final figure, complete","1994","139",""
"Iceland","1993","Total","July","Data tabulated by year of occurrence","Final figure, complete","1994","110",""
"Iceland","1993","Total","August","Data tabulated by year of occurrence","Final figure, complete","1994","143",""
"Iceland","1993","Total","September","Data tabulated by year of occurrence","Final figure, complete","1994","138",""
"Iceland","1993","Total","October","Data tabulated by year of occurrence","Final figure, complete","1994","146",""
"Iceland","1993","Total","November","Data tabulated by year of occurrence","Final figure, complete","1994","157",""
"Iceland","1993","Total","December","Data tabulated by year of occurrence","Final figure, complete","1994","195",""
"Iceland","1992","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1993","1719",""
"Iceland","1992","Total","January","Data tabulated by year of occurrence","Final figure, complete","1993","153",""
"Iceland","1992","Total","February","Data tabulated by year of occurrence","Final figure, complete","1993","151",""
"Iceland","1992","Total","March","Data tabulated by year of occurrence","Final figure, complete","1993","172",""
"Iceland","1992","Total","April","Data tabulated by year of occurrence","Final figure, complete","1993","129",""
"Iceland","1992","Total","May","Data tabulated by year of occurrence","Final figure, complete","1993","135",""
"Iceland","1992","Total","June","Data tabulated by year of occurrence","Final figure, complete","1993","148",""
"Iceland","1992","Total","July","Data tabulated by year of occurrence","Final figure, complete","1993","124",""
"Iceland","1992","Total","August","Data tabulated by year of occurrence","Final figure, complete","1993","118",""
"Iceland","1992","Total","September","Data tabulated by year of occurrence","Final figure, complete","1993","141",""
"Iceland","1992","Total","October","Data tabulated by year of occurrence","Final figure, complete","1993","145",""
"Iceland","1992","Total","November","Data tabulated by year of occurrence","Final figure, complete","1993","130",""
"Iceland","1992","Total","December","Data tabulated by year of occurrence","Final figure, complete","1993","173",""
"Iceland","1991","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1992","1796",""
"Iceland","1991","Total","January","Data tabulated by year of occurrence","Final figure, complete","1992","153",""
"Iceland","1991","Total","February","Data tabulated by year of occurrence","Final figure, complete","1992","137",""
"Iceland","1991","Total","March","Data tabulated by year of occurrence","Final figure, complete","1992","138",""
"Iceland","1991","Total","April","Data tabulated by year of occurrence","Final figure, complete","1992","152",""
"Iceland","1991","Total","May","Data tabulated by year of occurrence","Final figure, complete","1992","158",""
"Iceland","1991","Total","June","Data tabulated by year of occurrence","Final figure, complete","1992","154",""
"Iceland","1991","Total","July","Data tabulated by year of occurrence","Final figure, complete","1992","150",""
"Iceland","1991","Total","August","Data tabulated by year of occurrence","Final figure, complete","1992","135",""
"Iceland","1991","Total","September","Data tabulated by year of occurrence","Final figure, complete","1992","141",""
"Iceland","1991","Total","October","Data tabulated by year of occurrence","Final figure, complete","1992","141",""
"Iceland","1991","Total","November","Data tabulated by year of occurrence","Final figure, complete","1992","156",""
"Iceland","1991","Total","December","Data tabulated by year of occurrence","Final figure, complete","1992","181",""
"Iceland","1990","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1991","1704",""
"Iceland","1990","Total","January","Data tabulated by year of occurrence","Final figure, complete","1991","148",""
"Iceland","1990","Total","February","Data tabulated by year of occurrence","Final figure, complete","1991","124",""
"Iceland","1990","Total","March","Data tabulated by year of occurrence","Final figure, complete","1991","133",""
"Iceland","1990","Total","April","Data tabulated by year of occurrence","Final figure, complete","1991","145",""
"Iceland","1990","Total","May","Data tabulated by year of occurrence","Final figure, complete","1991","158",""
"Iceland","1990","Total","June","Data tabulated by year of occurrence","Final figure, complete","1991","137",""
"Iceland","1990","Total","July","Data tabulated by year of occurrence","Final figure, complete","1991","156",""
"Iceland","1990","Total","August","Data tabulated by year of occurrence","Final figure, complete","1991","140",""
"Iceland","1990","Total","September","Data tabulated by year of occurrence","Final figure, complete","1991","149",""
"Iceland","1990","Total","October","Data tabulated by year of occurrence","Final figure, complete","1991","117",""
"Iceland","1990","Total","November","Data tabulated by year of occurrence","Final figure, complete","1991","135",""
"Iceland","1990","Total","December","Data tabulated by year of occurrence","Final figure, complete","1991","162",""
"Iceland","1989","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1990","1715",""
"Iceland","1989","Total","January","Data tabulated by year of occurrence","Final figure, complete","1990","166",""
"Iceland","1989","Total","February","Data tabulated by year of occurrence","Final figure, complete","1990","115",""
"Iceland","1989","Total","March","Data tabulated by year of occurrence","Final figure, complete","1990","167",""
"Iceland","1989","Total","April","Data tabulated by year of occurrence","Final figure, complete","1990","137",""
"Iceland","1989","Total","May","Data tabulated by year of occurrence","Final figure, complete","1990","145",""
"Iceland","1989","Total","June","Data tabulated by year of occurrence","Final figure, complete","1990","120",""
"Iceland","1989","Total","July","Data tabulated by year of occurrence","Final figure, complete","1990","125",""
"Iceland","1989","Total","August","Data tabulated by year of occurrence","Final figure, complete","1990","141",""
"Iceland","1989","Total","September","Data tabulated by year of occurrence","Final figure, complete","1990","153",""
"Iceland","1989","Total","October","Data tabulated by year of occurrence","Final figure, complete","1990","140",""
"Iceland","1989","Total","November","Data tabulated by year of occurrence","Final figure, complete","1990","150",""
"Iceland","1989","Total","December","Data tabulated by year of occurrence","Final figure, complete","1990","156",""
"Iceland","1988","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1989","1818",""
"Iceland","1988","Total","January","Data tabulated by year of occurrence","Final figure, complete","1989","169",""
"Iceland","1988","Total","February","Data tabulated by year of occurrence","Final figure, complete","1989","140",""
"Iceland","1988","Total","March","Data tabulated by year of occurrence","Final figure, complete","1989","146",""
"Iceland","1988","Total","April","Data tabulated by year of occurrence","Final figure, complete","1989","169",""
"Iceland","1988","Total","May","Data tabulated by year of occurrence","Final figure, complete","1989","219",""
"Iceland","1988","Total","June","Data tabulated by year of occurrence","Final figure, complete","1989","138",""
"Iceland","1988","Total","July","Data tabulated by year of occurrence","Final figure, complete","1989","127",""
"Iceland","1988","Total","August","Data tabulated by year of occurrence","Final figure, complete","1989","128",""
"Iceland","1988","Total","September","Data tabulated by year of occurrence","Final figure, complete","1989","160",""
"Iceland","1988","Total","October","Data tabulated by year of occurrence","Final figure, complete","1989","133",""
"Iceland","1988","Total","November","Data tabulated by year of occurrence","Final figure, complete","1989","130",""
"Iceland","1988","Total","December","Data tabulated by year of occurrence","Final figure, complete","1989","159",""
"Iceland","1987","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1988","1724",""
"Iceland","1987","Total","January","Data tabulated by year of occurrence","Final figure, complete","1988","139",""
"Iceland","1987","Total","February","Data tabulated by year of occurrence","Final figure, complete","1988","111",""
"Iceland","1987","Total","March","Data tabulated by year of occurrence","Final figure, complete","1988","159",""
"Iceland","1987","Total","April","Data tabulated by year of occurrence","Final figure, complete","1988","135",""
"Iceland","1987","Total","May","Data tabulated by year of occurrence","Final figure, complete","1988","159",""
"Iceland","1987","Total","June","Data tabulated by year of occurrence","Final figure, complete","1988","136",""
"Iceland","1987","Total","July","Data tabulated by year of occurrence","Final figure, complete","1988","152",""
"Iceland","1987","Total","August","Data tabulated by year of occurrence","Final figure, complete","1988","150",""
"Iceland","1987","Total","September","Data tabulated by year of occurrence","Final figure, complete","1988","137",""
"Iceland","1987","Total","October","Data tabulated by year of occurrence","Final figure, complete","1988","151",""
"Iceland","1987","Total","November","Data tabulated by year of occurrence","Final figure, complete","1988","143",""
"Iceland","1987","Total","December","Data tabulated by year of occurrence","Final figure, complete","1988","152",""
"Iceland","1986","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1988","1598",""
"Iceland","1986","Total","January","Data tabulated by year of occurrence","Final figure, complete","1988","136",""
"Iceland","1986","Total","February","Data tabulated by year of occurrence","Final figure, complete","1988","134",""
"Iceland","1986","Total","March","Data tabulated by year of occurrence","Final figure, complete","1988","148",""
"Iceland","1986","Total","April","Data tabulated by year of occurrence","Final figure, complete","1988","153",""
"Iceland","1986","Total","May","Data tabulated by year of occurrence","Final figure, complete","1988","125",""
"Iceland","1986","Total","June","Data tabulated by year of occurrence","Final figure, complete","1988","124",""
"Iceland","1986","Total","July","Data tabulated by year of occurrence","Final figure, complete","1988","124",""
"Iceland","1986","Total","August","Data tabulated by year of occurrence","Final figure, complete","1988","128",""
"Iceland","1986","Total","September","Data tabulated by year of occurrence","Final figure, complete","1988","127",""
"Iceland","1986","Total","October","Data tabulated by year of occurrence","Final figure, complete","1988","138",""
"Iceland","1986","Total","November","Data tabulated by year of occurrence","Final figure, complete","1988","114",""
"Iceland","1986","Total","December","Data tabulated by year of occurrence","Final figure, complete","1988","147",""
"Iceland","1985","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1988","1652",""
"Iceland","1985","Total","January","Data tabulated by year of occurrence","Final figure, complete","1988","143",""
"Iceland","1985","Total","February","Data tabulated by year of occurrence","Final figure, complete","1988","142",""
"Iceland","1985","Total","March","Data tabulated by year of occurrence","Final figure, complete","1988","157",""
"Iceland","1985","Total","April","Data tabulated by year of occurrence","Final figure, complete","1988","115",""
"Iceland","1985","Total","May","Data tabulated by year of occurrence","Final figure, complete","1988","128",""
"Iceland","1985","Total","June","Data tabulated by year of occurrence","Final figure, complete","1988","124",""
"Iceland","1985","Total","July","Data tabulated by year of occurrence","Final figure, complete","1988","158",""
"Iceland","1985","Total","August","Data tabulated by year of occurrence","Final figure, complete","1988","138",""
"Iceland","1985","Total","September","Data tabulated by year of occurrence","Final figure, complete","1988","127",""
"Iceland","1985","Total","October","Data tabulated by year of occurrence","Final figure, complete","1988","134",""
"Iceland","1985","Total","November","Data tabulated by year of occurrence","Final figure, complete","1988","128",""
"Iceland","1985","Total","December","Data tabulated by year of occurrence","Final figure, complete","1988","158",""
"Iceland","1984","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1985","1584",""
"Iceland","1984","Total","January","Data tabulated by year of occurrence","Final figure, complete","1985","154",""
"Iceland","1984","Total","February","Data tabulated by year of occurrence","Final figure, complete","1985","140",""
"Iceland","1984","Total","March","Data tabulated by year of occurrence","Final figure, complete","1985","150",""
"Iceland","1984","Total","April","Data tabulated by year of occurrence","Final figure, complete","1985","124",""
"Iceland","1984","Total","May","Data tabulated by year of occurrence","Final figure, complete","1985","115",""
"Iceland","1984","Total","June","Data tabulated by year of occurrence","Final figure, complete","1985","124",""
"Iceland","1984","Total","July","Data tabulated by year of occurrence","Final figure, complete","1985","129",""
"Iceland","1984","Total","August","Data tabulated by year of occurrence","Final figure, complete","1985","118",""
"Iceland","1984","Total","September","Data tabulated by year of occurrence","Final figure, complete","1985","117",""
"Iceland","1984","Total","October","Data tabulated by year of occurrence","Final figure, complete","1985","135",""
"Iceland","1984","Total","November","Data tabulated by year of occurrence","Final figure, complete","1985","135",""
"Iceland","1984","Total","December","Data tabulated by year of occurrence","Final figure, complete","1985","143",""
"Iceland","1983","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1984","1653",""
"Iceland","1983","Total","January","Data tabulated by year of occurrence","Final figure, complete","1984","157",""
"Iceland","1983","Total","February","Data tabulated by year of occurrence","Final figure, complete","1984","95",""
"Iceland","1983","Total","March","Data tabulated by year of occurrence","Final figure, complete","1984","113",""
"Iceland","1983","Total","April","Data tabulated by year of occurrence","Final figure, complete","1984","169",""
"Iceland","1983","Total","May","Data tabulated by year of occurrence","Final figure, complete","1984","142",""
"Iceland","1983","Total","June","Data tabulated by year of occurrence","Final figure, complete","1984","150",""
"Iceland","1983","Total","July","Data tabulated by year of occurrence","Final figure, complete","1984","123",""
"Iceland","1983","Total","August","Data tabulated by year of occurrence","Final figure, complete","1984","128",""
"Iceland","1983","Total","September","Data tabulated by year of occurrence","Final figure, complete","1984","121",""
"Iceland","1983","Total","October","Data tabulated by year of occurrence","Final figure, complete","1984","159",""
"Iceland","1983","Total","November","Data tabulated by year of occurrence","Final figure, complete","1984","136",""
"Iceland","1983","Total","December","Data tabulated by year of occurrence","Final figure, complete","1984","160",""
"Iceland","1982","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1983","1583",""
"Iceland","1982","Total","January","Data tabulated by year of occurrence","Final figure, complete","1983","141",""
"Iceland","1982","Total","February","Data tabulated by year of occurrence","Final figure, complete","1983","123",""
"Iceland","1982","Total","March","Data tabulated by year of occurrence","Final figure, complete","1983","125",""
"Iceland","1982","Total","April","Data tabulated by year of occurrence","Final figure, complete","1983","112",""
"Iceland","1982","Total","May","Data tabulated by year of occurrence","Final figure, complete","1983","160",""
"Iceland","1982","Total","June","Data tabulated by year of occurrence","Final figure, complete","1983","120",""
"Iceland","1982","Total","July","Data tabulated by year of occurrence","Final figure, complete","1983","130",""
"Iceland","1982","Total","August","Data tabulated by year of occurrence","Final figure, complete","1983","138",""
"Iceland","1982","Total","September","Data tabulated by year of occurrence","Final figure, complete","1983","141",""
"Iceland","1982","Total","October","Data tabulated by year of occurrence","Final figure, complete","1983","126",""
"Iceland","1982","Total","November","Data tabulated by year of occurrence","Final figure, complete","1983","123",""
"Iceland","1982","Total","December","Data tabulated by year of occurrence","Final figure, complete","1983","144",""
"Iceland","1981","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1981","1656",""
"Iceland","1981","Total","January","Data tabulated by year of occurrence","Final figure, complete","1981","129",""
"Iceland","1981","Total","February","Data tabulated by year of occurrence","Final figure, complete","1981","150",""
"Iceland","1981","Total","March","Data tabulated by year of occurrence","Final figure, complete","1981","125",""
"Iceland","1981","Total","April","Data tabulated by year of occurrence","Final figure, complete","1981","122",""
"Iceland","1981","Total","May","Data tabulated by year of occurrence","Final figure, complete","1981","157",""
"Iceland","1981","Total","June","Data tabulated by year of occurrence","Final figure, complete","1981","123",""
"Iceland","1981","Total","July","Data tabulated by year of occurrence","Final figure, complete","1981","148",""
"Iceland","1981","Total","August","Data tabulated by year of occurrence","Final figure, complete","1981","150",""
"Iceland","1981","Total","September","Data tabulated by year of occurrence","Final figure, complete","1981","133",""
"Iceland","1981","Total","October","Data tabulated by year of occurrence","Final figure, complete","1981","153",""
"Iceland","1981","Total","November","Data tabulated by year of occurrence","Final figure, complete","1981","122",""
"Iceland","1981","Total","December","Data tabulated by year of occurrence","Final figure, complete","1981","144",""
"Iceland","1980","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1981","1538",""
"Iceland","1980","Total","January","Data tabulated by year of occurrence","Final figure, complete","1981","129",""
"Iceland","1980","Total","February","Data tabulated by year of occurrence","Final figure, complete","1981","101",""
"Iceland","1980","Total","March","Data tabulated by year of occurrence","Final figure, complete","1981","127",""
"Iceland","1980","Total","April","Data tabulated by year of occurrence","Final figure, complete","1981","120",""
"Iceland","1980","Total","May","Data tabulated by year of occurrence","Final figure, complete","1981","131",""
"Iceland","1980","Total","June","Data tabulated by year of occurrence","Final figure, complete","1981","136",""
"Iceland","1980","Total","July","Data tabulated by year of occurrence","Final figure, complete","1981","138",""
"Iceland","1980","Total","August","Data tabulated by year of occurrence","Final figure, complete","1981","120",""
"Iceland","1980","Total","September","Data tabulated by year of occurrence","Final figure, complete","1981","143",""
"Iceland","1980","Total","October","Data tabulated by year of occurrence","Final figure, complete","1981","137",""
"Iceland","1980","Total","November","Data tabulated by year of occurrence","Final figure, complete","1981","124",""
"Iceland","1980","Total","December","Data tabulated by year of occurrence","Final figure, complete","1981","132",""

